,0,news,time
0,00:52:37,,
1,美联储梅斯特：与2008年由金融体系崩溃引发的危机不同，美国经济在病毒大流行之前有一个良好的基础。,,
2,00:17:56,,
3,美国参议院少数党（民主党）领袖舒默：下周初可能就援助方案达成协议。,,
4,00:16:52,,
5,摩根大通：我们还大幅上调了对美国下个月失业率的预测至20%，这是自大萧条以来的最高水平。,,
6,23:43:10,,
7,【美经济学家调查显示美国经济已步入衰退】美国全国商业经济协会10日发布的经济学家调查。美国全国商业经济协会主席康斯坦斯·亨特表示，今年上半年美国经济将继续萎缩，但受访经济学家对美国经济在下半年恢复增长持乐观态度。她表示，尽管当前美国就业市场形势严重恶化，但在财政和货币政策支持下，预计今年年底前美国就业市场将逐步改善，受访经济学家预计美联储将把联邦基金利率维持在接近零的水平直到2021年。（新华社）,,
8,23:40:59,,
9,美国纽约州州长科莫：纽约州新增777例新冠肺炎死亡病例。,,
10,23:27:32,,
11,据路透计算，美国新冠肺炎死亡病例超1.7万例。,,
12,23:24:17,,
13,波音：今天上午向美国卫生与公众服务部交付了2300个口罩。,,
14,23:23:45,,
15,【安东尼·福奇：美国新冠肺炎疫情曲线或将趋缓】当地时间10日，美国国家过敏症与传染病研究所主任安东尼·福奇，在接受美国有线电视新闻网采访时表示，目前有迹象表明美国新冠肺炎疫情曲线可能会趋于平缓。但美国政府是否会在5月1日之后解除限制令，还要看接下来美国新冠肺炎感染死亡病例是否会明显下降。另外，福奇教授还表示，白宫应对新冠肺炎疫情团队正在讨论，美国将从一周左右之后开始进行新冠病毒抗体检测，抗体检测能更好的掌握病毒传播情况，而且具有抗体免疫将保证一线医务人员能更安全的救治患者。（央视新闻）,,
16,23:17:25,,
17,【普京与特朗普就石油问题通电话】4月10日，据俄总统网站消息，在美方倡议下，普京与特朗普进行了电话交谈。双方就当前全球石油市场的情况交换了意见，并对欧佩克+框架下为稳定世界石油价格而达成的减产协议进行了讨论。特朗普表示他正在与一些产油国领导人接触，并将就这一议题继续进行美俄之间的磋商。此外，特朗普与普京就新冠肺炎疫情大流行进行了讨论，并评估了俄罗斯与美国采取的防疫措施。同时也谈及双方合作的重要领域，其中包括航天合作。（央视新闻）,,
18,23:16:25,,
19,市场消息：特朗普称，无形的敌人将很快全面消退！,,
20,23:06:57,,
21,美国白宫：特朗普总统和俄罗斯总统普京讨论了新冠病毒和能源市场稳定问题。,,
22,22:55:59,,
23,【美国能源部长：美国石油产量到年底可能会下降200万桶/日】美国能源部长Dan Brouillette周五称，到今年年底，美国石油产量可能每天减少近200万桶。“某些模型显示的数字更大，例如每天300万桶，”他在周五G-20能源部长会议上发表事先准备好的演讲称。,,
24,22:53:56,,
25,交易员调侃：或许可以在凌晨01:00的特朗普例行新闻发布会上得到有关美墨石油谈判的更多详情。,,
26,22:49:06,,
27,克里姆林宫：普京总统和特朗普在电话中讨论了全球油市以及欧佩克+协议。 双方就欧佩克+协议交换了意见。,,
28,22:48:00,,
29,俄罗斯总统普京和特朗普通话讨论全球油市问题。,,
30,22:37:20,,
31,美国新泽西州新增3627例新冠肺炎病例，累计确诊54588例。,,
32,22:37:02,,
33,据Worldometers实时统计数据显示，截至北京时间4月10日22时30分，美国新冠肺炎累计确诊突破47万例，达470175例。,,
34,22:13:35,,
35,摩根大通：将美国二季度GDP预期由此前的萎缩25%下调至萎缩40％；预计美国4月份失业率将激增至20％，失去2500万个工作岗位。,,
36,22:07:37,,
37,【惠誉下调多家美国航空公司评级，将达美航空评级下调至垃圾级】惠誉将西南航空评级下调至BBB+，展望为负面；将达美航空评级从BB+下调至BBB-，展望为负面；将阿拉斯加航空评级从BBB下调至BB+，展望维持负面；将联合航空评级从BB下调至BB-，展望维持负面；将捷蓝航空评级从BB+下调至BB，展望维持负面。,,
38,22:02:56,,
39,【比尔盖茨预测新冠病毒大流行的大致终止日期】据俄罗斯卫星通讯社，比尔盖茨在接受CNBC采访时表示，美国的新冠病毒的形势可能会在5月底之前发生变化。他表示，其他国家的形势也将好转，各个生产制造行业可能复工。与此同时，盖茨强调，经济不会迅速复苏，“不要以为政府能挥一挥魔杖，经济突然之间就会跟以前一样。”他还指出，他的基金会正在研发一种针对新冠病毒的疫苗，开发过程将持续18个月。,,
40,21:51:35,,
